Date,Country,Area,Activity,Injury,Fatal,Species
1855-09-30,Usa,North Carolina,ship William Penn grounded & broke apart,Foot bitten,N,
1855-11-11,Australia,Victoria,Swimming,FATAL,Y,
1856-02-06,Australia,Victoria,Swimming,Severe bite to thigh. Not known if he survived,,
1856-06-21,England,Isle Of Wight,Swimming,Survived,Y,
1856-11-25,Fiji,,Swimming,FATAL,Y,
1857-05-05,Usa,Florida,Swimming,FATAL,Y,
1858-01-09,Tonga,Vava'U,Jumped overboard while intoxicated,FATAL,Y,
1858-03-14,Australia,Victoria,Bathing,FATAL,Y,
1858-04-04,Tobago,,Bathing,"Leg bitten, surgically amputated",N,
1858-08-17,Usa,New York,Swimming,Thought to have been taken by a shark/s. Body not  recovered,,
1858-08-23,Usa,New York,Swimming,Thought to have been taken by a shark/s. Bodies not  recovered,,
1859-03-16,Usa,Hawaii,Fell overboard,FATAL,Y,
1860-03-11,Bahamas,New Providence Island,"In boat being towed by ship, Karnak",FATAL,Y,From Shark
1860-03-27,Cook Islands,Mangaia Island,43-ton schooner Irene capsized & sank,Probable drowning ,Y,
1860-08-01,Usa,New York,Swimming,Toe severed,N,
1860-12-26,Australia,New South Wales,Bathing,Lacerations to leg,N,
1861-01-15,Australia,Queensland,Bathing,Lacerations to fingers,N,
1861-02-12,Equatorial Guinea / Cameroon,Fernando Po Island,Swimming,FATAL,Y,
1861-09-25,Cuba,,Deserting the bark Nazarene,Lacerations,N,
1861-11-10,Singapore,,Bathing alongside the American ship Thomas W. Sears,FATAL,Y,
1862-05-05,South Africa,Kwazulu-Natal,Bathing,Lacerations,N,
1862-06-03,South Africa,Kwazulu-Natal,,"""Very severe wounds""",N,
1862-07-13,Spain,C�Diz,Swimming alongside the SS Kearsarge,FATAL,Y,
1862-07-14,Spain,C�Diz,,FATAL,Y,
1862-07-25,Spain,Malaga,Swimming,FATAL,Y,
1862-08-15,Spain,,Bathing,Survived,N,
1862-12-19,Australia,Queensland,Trying to catch a wounded bird,FATAL,Y,
1862-12-22,New Zealand,North Island,Swimming,Right thigh and left foot severely bitten,N,
1863-01-10,Australia,New South Wales,Bathing,FATAL,Y,
1863-02-05,South Africa,Kwazulu-Natal,"Swimming, caught in strong backwash & disappeared",3.2 m [10.5'] shark caught 9 days later contained human remains thought to be those of Canham,,
1863-03-05,Australia,Victoria,Floating on back,Lacerations to right torso & ankle,N,
1863-07-09,Usa,Hawaii,Fishing,Hand severed by noosed shark PROVOKED INCIDENT,N,
1863-09-13,Usa,South Carolina,Bathing,Thrown into the air & bruised,N,
1863-12-14,Guinea,Conakry Region,"Bathing near whaling ship (bark A. R. Tucker of New Bedford, Massachusetts)","FATAL ""Most of leg torn away . . .  Buried on Island of DeLoss on the west coast of Africa""",Y,
1864-01-02,New Zealand,North Island,Standing / Bathing,Minor injury to hip,N,
1864-01-16,New Zealand,Foveaux Strait,Boat swamped,FATAL,Y,
1864-01-27,Panama,Col�N Province,Coming ashore on a hawser,FATAL,Y,
1864-07-25,Spain,Eastern Catalona,Bathing,FATAL,Y,
1864-08-12,Usa,New York,Swimming,Left thigh severely bitten,N,
1864-09-18,France,Alpes Maritime,Dragging a shark,Knee bitten PROVOKED INCIDENT,N,
1864-10-02,Usa,North Carolina,Wreck of the Aphrodite,FATAL,Y,
1865-03-01,South Africa,Western Cape Province,Fishing,"FATAL: Boat capsized, sharks took fishermen",Y,
1865-07-14,Usa,Texas,Bathing,FATAL,Y,
1865-09-02,Usa,New York,Swimming alongside the schooner Catherine Wilcox,Multiple lacerations,N,
1866-04-24,Australia,Western Australia,Fell overboard,Thought to have been taken by a shark. Body was not recovered,,
1866-07-09,Usa,Alabama,Bathing,FATAL,Y,
1867-01-26,Australia,Victoria,,"No injury, shark bit oar of customs boat",N,
1867-06-26,Cuba,Villa Clara Province,boat from ship Josephine capsized in squall,FATAL,Y,
1867-08-22,Egypt,,Swimming,FATAL,Y,
1868-01-04,Australia,South Australia,Fishing,"No injury to occupants, shark's teeth embedded in keel",N,
1868-01-17,Vietnam,,A junk foundered,FATAL,Y,
1868-05-13,India,Hoogly River,Standing,"FATAL, upper left thigh, groin & buttocks severely bitten, leg surgically amputated at the hip  ",Y,
1868-09-01,Italy,Adriatic Sea,,FATAL,Y,White Shark
1869-04-15,Australia,South Australia,Net fishing,Foot bitten,N,Tiger Shark
1870-01-09,Australia,Queensland,Bathing,Right thigh bitten,N,
1870-05-11,India,"22�N, 88�E",Bathing,3 lacerated irregular wounds on anterior left thigh,N,
1870-05-18,India,"22�N, 88�E",Bathing,4 irregular lacerated wounds on right arm,N,
1870-05-26,Australia,Queensland,Fishing,bite to lower leg,N,
1870-06-01,India,West Bengal,Bathing / standing,"Right foot & leg bitten, surgically amputated",N,
1870-06-19,India,"22�N, 88�E",Bathing,"Left arm bitten, developed gangrene, surgically amputated",N,
1870-07-27,Usa,North Carolina,Bathing,Foot bitten & toe severed,N,
1871-03-24,India,"22�N, 88�E",Bathing,"FATAL, left thigh & buttock bitten, died of pneumonia 7 weeks later  ",Y,
1871-05-22,Sri Lanka,Eastern Province,Bathing,Severe laceration to thigh,N,
1871-08-29,Usa,Hawaii,Fishing,Limbs severed,N,
1872-01-28,Fiji,Lomaiviti Provine,boat capsized,Probable drowning,,
1872-02-26,Australia,Queensland,Wreck of the 150-ton brig Maria,"FATAL, some were taken by sharks",Y,
1872-04-03,Usa,Hawaii,Canoeing,"Thigh bitten, shark teeth embedded in canoe",N,
1872-10-10,Bahamas,Abaco Islands,Burning of the S.S. Missouri,FATAL,Y,
1872-11-30,Indian Ocean?,,Swimming to avoid capture,FATAL,Y,
1873-01-09,Australia,Queensland,Bathing,Survived,N,Hammerhead Shark
1873-06-09,Australia,New South Wales,Bathing,FATAL,,
1873-07-28,Usa,Maryland,Fishing (Seining),Leg severely bitten by netted shark. Lower leg surgically amputated PROVOKED INCIDENT,N,
1874-04-20,Canada,Newfoundland,Fishing,Shark bit & tipped the dory,N,White Shark
1874-06-15,Kiribati,Gilbert Islands,Escaping from blackbirding vessel,FATAL,Y,
1874-07-15,Usa,New York,Bathing,Lacerations to groin,N,
1874-07-15,Usa,Hawaii,Fishing,Thumb & thigh lacerated,N,
1874-07-23,France,,Fishing,Shark and boat collided. No injury to occupants,N,
1874-11-14,Croatia,Zadar County,Fishing,"Shark damaged boat, but no injury to occupants",N,
1874-11-21,Australia,Queensland,Bathing,Thigh bitten,N,
1875-01-20,Australia,Queensland,Bathing,Forehead bitten,,
1875-03-03,New Zealand,North Island,Bathing,FATAL,Y,
1875-11-27,Australia,New South Wales,Fishing,Foot severed at ankle,N,
1876-02-06,Australia,Victoria,Bathing,"FATAL, rescued by man on horseback, but died on the beach  ",Y,
1876-05-14,Australia,New South Wales,Swimming,FATAL,Y,
1876-06-04,Usa,Georgia,Bathing,Leg bitten,N,
1876-09-07,Greece,Cyclades Archipelago,Diving for sponges,FATAL,Y,
1876-10-13,Usa,New York,Fishing,FATAL,Y,
1877-01-04,South Africa,Kwazulu-Natal,Body found floating next to his ship,"Although his body was bitten by a shark/s, bruises on his neck & face suggested foul play & a shipmate taken into custody but no charges made",,
1877-01-24,Australia,Victoria,Swimming,Ankle injured,N,
1877-01-28,Australia,Victoria,Bathing,FATAL,Y,
1877-02-17,Australia,Victoria,Fishing ,Severe bite to hand,N,
1877-03-11,Fiji,Viti Levu Island,,"Thigh severely bitten, femur exposed ",N,
1877-03-16,Italy,Strait Of Messina,Paddling,3 ribs broken by shark's tail,N,
1877-04-04,Australia,Victoria,Bathing,Thigh & foot bitten,N,
1877-04-07,Australia,Tasmania,,Fingers injured by landed shark PROVOKED INCIDENT,N,Gill Shark
1877-09-15,Australia,New South Wales,Fishing,"No injury, pulled overboard by a shark that grabbed his coat",N,
1877-12-12,Australia,New South Wales,Washed overboard from the barque Mary Eady,FATAL,Y,
1877-12-15,Australia,New South Wales,Bathing,Leg severely bitten & later surgically amputated,N,
1878-02-02,Brazil,,Washed off raft,FATAL,Y,
1878-02-13,South Africa,Western Cape Province,Wreck of the Union Steamship Company 982-ton iron steamer Kafir,"FATAL, shark removed large part of his hip",Y,
1878-08-08,Usa,New York,Swimming,FATAL,Y,
1878-08-09,Usa,New York,Swimming,FATAL?,Y,
1878-09-02,South Atlantic Ocean,Off The Coast Of West Africa,Boat with 5 men capsized while returning to the Amerique, Du Val's leg was bitten but he survived,N,
1878-09-02,South Atlantic Ocean,Off The Coast Of West Africa,Boat with 5 men capsized while returning to the Amerique,"FATAL, 2 of the crew were killed by sharks",Y,
1878-09-14,Usa,Connecticut,Fishing,Leg bitten by netted shark PROVOKED INCIDENT,N,
1878-10-24,Indonesia,East Java,Swimming,FATAL,Y,
1878-11-17,Australia,New South Wales,Bathing,Laceration to leg,N,Small Shark
1879-03-10,Australia,New South Wales,The steamship Bonnie Dundee lost in collision,Partial  remains found in shark,,
1879-03-19,New Zealand,North Island,Standing,FATAL,Y,
1879-08-30,Fiji,Lau Group,,"Severely bitten on heel, 20 others taken by sharks",N,
1879-09-22,Spain,Valencia,Fishing,"No injuries to occupants, Hooked shark bit boat  PROVOKED INCIDENT",N,
1879-11-10,Australia,New South Wales,Swimming,Thigh bitten,N,
1879-12-24,India,Andaman Islands,Swimming,FATAL,Y,
