Date,Country,Area,Activity,Injury,Fatal,Species
1958-04-03,South Africa,Kwazulu-Natal,Swimming with goggles,"FATAL, arm severed above elbow, abdomen & leg bitten  ",Y,
1958-04-05,South Africa,Kwazulu-Natal,Paddling in knee-deep water,FATAL,Y,
1958-04-19,Taiwan,Taipei Hsien,Diving,Right cheek bitten,N,Mako Shark
1958-04-30,Usa,Florida,Free diving,"Grabbed shark�s tail, shark bit his thigh PROVOKED INCIDENT",N,Nurse Shark
1958-06-02,South Africa,Kwazulu-Natal,Spearfishing,Injuries not caused by sharks,,
1958-06-15,Australia,Queensland,Swimming,"Injuries caused by coral, not the  shark",,
1958-06-17,Usa,Florida,"Swimming, towing the shark",Thigh bitten PROVOKED INCIDENT,N,Nurse Shark
1958-06-24,Usa,Florida,Walking,Lower left leg & foot bitten,N,Tiger Shark
1958-06-26,Usa,Florida,Wading,Right foot bitten when he walked into shark's head PROVOKED INCIDENT,N,Nurse Shark
1958-07-01,Papua New Guinea,"New Ireland Province, Bismarck Archipelago",Swimming,"FATAL, left arm severed ",Y,
1958-07-02,Usa,Florida,Free diving,"He grabbed shark, it bit his leg below the knee PROVOKED INCIDENT",N,Nurse Shark
1958-07-04,Pacific Ocean,Between Hawaii & Wake Island,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,Left shoulder bitten ,N,
1958-07-04,Pacific Ocean,Between Hawaii & Wake Island,U.S. Airforce C124 enroute from Hickham Air Base to Japan went down. The 3 survivors fashioned raft from mailbags  & were rescued 3 days after the crash.,FATAL,Y,
1958-07-08,Kenya,Coast Province,Swimming,"FATAL, leg severed ",Y,
1958-07-10,Usa,Florida,,FATAL  Autopsy report: bitten by shark while still alive,Y,
1958-07-27,Usa,Florida,"Swimming, ducking for shells in water 0.9 m deep","Left hand and  leg bitten, leg surgically amputated below hip",N,Tiger Shark
1958-07-27,Usa,Florida,"Swimming, ducking for shells in water 0.9 m deep",3 lacerations on leg,N,Tiger Shark
1958-07-31,Mexico,Guerrero,Swimming,FATAL,Y,
1958-08-01,Croatia,Primorje-Gorski Kotar County,Swimming,Leg injured,N,
1958-08-31,Mexico,Baja California,Boat stopped to repair electric pump,Shark tried to bite prop twice,N,Hammerhead Shark
1958-09-01,Usa,New York,Spearfishing,Bitten by harpooned shark PROVOKED INCIDENT,N,
1958-09-06,Bahamas,Cat Cay,Fishing,Right forearm lacerated,N,Lb Shark
1958-09-13,Andaman / Nicobar Islandas,,"""Climbing up to ship after repairing the stern in water""","FATAL, leg bitten ",Y,Blue Shark
1958-10-05,Usa,Florida,,No injury,N,
1958-10-12,Usa,California,Swimming near jetty,"Left arm, hips & leg lacerated",N,
1958-11-05,Usa,California,Fishing,"No injury to occupant, shark chasing barracuda tied to the stern rammed skiff & slashed the motor",N,White Shark
1958-11-07,Papua New Guinea,"Admiralty Islands, Manus Province",Spearfishing,"FATAL, left arm & leg severed  ",Y,
1958-11-14,South Africa,Western Cape Province,Fishing,"No injury, shark leapt at him",,
1958-11-23,Australia,Queensland,Swimming,FATAL,Y,
1958-12-12,American Samoa,Tutuila Island,Cleaning hull of ship ,"FATAL, left thigh & hip bitten  ",Y,Tiger Shark
1958-12-13,Usa,Hawaii,Surfing on air mattress,"FATAL, leg severed  ",Y,Tiger Shark
1958-12-23,South Africa,Western Cape Province,Swimming,FATAL,Y,
1958-12-27,Papua New Guinea,Madang Province,,Hip bitten,N,
1958-12-28,Turkey,Ahirkapi Coast,Fishing,Boat damaged,,White Shark
1959-01-02,Mozambique,Maputo Province,Swimming ashore from fishing boat swamped and sunk by a squall,"Suttie's lower abdomen was bitten, Murray disappeared (presumed drowned)",Y,
1959-01-12,New Guinea,Milne Bay Province,Dragging banana seeds through the shallows,Left calf & right thigh bitten,N,
1959-01-15,South Africa,Western Cape Province,Swimming,Thigh & both wrists lacerated,N,White Shark
1959-01-17,Australia,Queensland,"Surfing, but treading water",Right foot & toe bitten,N,
1959-01-17,Australia,Tasmania,In deep water about 100 yards from his ship,FATAL,Y,
1959-01-25,Australia,Tasmania,Swimming with motor tube,Thigh bitten,N,
1959-01-27,Ecuador,Galapagos Islands,Washed overboard into school of fish,Right leg & left foot lacerated,N,
1959-01-31,Australia,Western Australia,Working prawn net,Shark�s tail grazed his shin,N,Nurse Shark
1959-02-01,South Africa,Kwazulu-Natal,Treading water,Leg severed below knee,N,
1959-02-02,Solomon Islands,Guadalcanal Province,Bathing with sister,"FATAL, body not recovered",Y,
1959-02-16,Papua New Guinea,Kikori River Mouth,Fishing,Arm bitten by shark that he thought was dead PROVOKED INCIDENT,N,
1959-02-27,Venezuela,Nueva Esparta,Fell into water while attempting to boat a swordfish,Left arm bitten,N,
1959-02-28,Australia,Victoria,Fishing for snapper,"No injury to occupants. Shark leapt into boat, momentarily pinning Crew against the side",N,Mako Shark
1959-03-08,Philippines,Mindanao,Lifeboat capsized,"FATAL, body not recovered",Y,
1959-03-29,Usa,Florida,Swimming,"Bumped, then knee bitten",N,
1959-04-05,Australia,New South Wales,Spearfishing,Swim fin bitten,N,
1959-04-09,South Africa,Eastern Cape Province,Fishing,2 toes bitten off ,N,
1959-04-09,Usa,Hawaii,Fishing,Survived,N,
1959-04-11,Australia,Torres Strait,Diving for pearl shell,Left hand lacerated when he tried to ward off shark,N,Tiger Shark
1959-04-27,Australia,New South Wales,Spearfishing,Thigh lacerated,,
1959-05-03,Usa,Florida,Spearfishing,Lacerated hip & hands,N,Tiger Shark
1959-05-07,Usa,California,Treading water,"FATAL, left arm bitten, right arm partly severed, deep lacerations of left shoulder & chest ",Y,White Shark
1959-05-16,Usa,Florida,,Minor injuries,N,
1959-05-30,South Africa,Eastern Cape Province,Spearfishing,"No injury, diver shot shark & it bit his speargun PROVOKED INCIDENT",N,White Shark
1959-06-13,Usa,California,Swimming ,"Disappeared after diving in �deep hole�, body not recovered, �presumed taken by a shark� ",,
1959-06-14,Mexico,Guyamas,Swimming ashore from capsized boat,FATAL,Y,
1959-06-14,Usa,California,Free diving for abalone,"FATAL, body not recovered",Y,White Shark
1959-06-19,Usa,California,,Leg injured,N,White Shark
1959-06-26,Turkey,Mersin Province,,Leg injured,N,
1959-07-02,Usa,Florida,Free diving,Arm bitten when he grabbed shark�s tail  PROVOKED INCIDENT,N,Nurse Shark
1959-07-03,Caribbean Sea,Panama,Columbian petrol barge Rio Atrato burned and sank,"FATAL X 2, 8 others missing. Survivors fought off sharks & sharks seen biting 2 of the dead. The 39 survivors were rescued by the German freighter Essen",Y,
1959-07-23,Usa,California,Dragging stranded shark ashore,"Gietel grabbed the shark's tail, the shark lacerated his right ankle PROVOKED INCIDENT",N,Blue Shark
1959-07-23,Usa,California,Fishing,"No injury to occupant, shark rammed boat",N,Hammerhead Shark
1959-07-25,Usa,California,,No injury to occupant,N,Hammerhead Shark
1959-07-25,Japan,Okayama Prefecture,,"FATAL, right thigh bitten  ",Y,Blue Shark
1959-07-28,Usa,California,Spearfishing (but on surface),"14 punctures on right thigh, swim trunks torn",N,Hammerhead Shark
1959-07-30,Usa,California,Pulling anchor,"No injury to occupants, shark charged boat after being shot twice with pistol and speared PROVOKED INCIDENT",N,White Shark
1959-08-05,Usa,California,Wading,"No injury, no attack, the 10' shark merely circled him.",,
1959-08-10,Usa,Georgia,Standing,"4"" cut on left foot ",N,
1959-08-11,Japan,Wakayama Prefecture,Swimming,"FATAL, left thigh bitten",Y,Blue Shark
1959-08-12,Croatia,Istria,Fishing,Laceration to arm PROVOKED INCIDENT,N,Kg Shark
1959-08-13,Usa,California,"Spearfishing with Joe Turner (24). Shark attracted to speared halibut on belt of one diver, tried to bite Ide�s speargun & he shot it in the mouth","No injury, PROVOKED INCIDENT",N,Hammerhead Shark
1959-08-14,Philippines,Queaon,Fishing boat capsized ,"10 of the 15 people perished, bodies of some who drowned  were scavenged by sharks",Y,
1959-08-14,Usa,South Carolina,Fishing,Laceration to forearm by boated shark PROVOKED INCIDENT,N,
1959-08-15,Usa,Florida,Diving,No injury,,
1959-08-15,Usa,Florida,Spearfishing on Scuba,"FATAL, disappeared, dive gear & clothing found with teethmarks, presumed taken by a shark  ",Y,
1959-08-20,Philippines,North Palawan,The 240-ton motor vessel Pilar II with 100 people on board capsized in high winds & rough seas,"Navy personnel reported that his body was ""mutilated by sharks"" but it is probable that death resulted from drowning",,
1959-08-30,Australia,Tasmania,Swimming,No injury,,
1959-08-31,Azores,,Fishing,No injury to occupants; shark bit rudder,N,White Shark
1959-09-02,Usa,New York,On inflatable raft,No injury,,
1959-09-10,India,Orissa,,"5 fatalities, 30 injured",Y,
1959-09-12,Usa,California,Pulling hooked salmon to boat,"No injury to occupant, shark struck stern of boat",N,White Shark
1959-09-26,Usa,Florida,"Adrift, hanging onto cushion, after his 17' skiff ran out of gas & capsized 3 miles from shore","During the night both hands and feet were bitten, rescued next day after spending 17 hours in the sea.",N,Hammerhead Shark
1959-09-26,Usa,South Carolina,Gigging for flounder,,,White Shark
1959-09-30,Philippines,Leyte Island,Swimming ,"No details, survived",N,
1959-10-02,Fiji,Lomaiviti Province,Dived overboard to retrieve dinghy,"FATAL, body not recovered",Y,
1959-10-04,Usa,California,Diving for abalone,"Ankle twisted, swim fin bitten",N,White Shark
1959-10-05,Papua New Guinea,Madang,,Thigh bitten,N,
1959-10-07,Mozambique,Maputo Province,Swimming,"FATAL, died in Lourenco Marques Hospital",Y,
1959-11-01,Papua New Guinea,New Britain,Fishing,Both hands bitten while helping companion land speared shark PROVOKED INCIDENT,N,
1959-11-09,Australia,Western Australia,"Spearfishing, shot shark, hauled it onto boat","No injury. Diver shot shark, then shark tore legs of his rubber suit, water poured in & swept out to sea by strong rip current PROVOKED INCIDENT",N,Carpet Shark
1959-11-10,Usa,California,Swimming at surface through school of feeding 2.5' to 5� sharks,Forearm bitten,N,Blue Shark
1959-11-12,Australia,South Australia,Shark fishing,"No injury to occupant, hull bitten PROVOKED INCIDENT",N,
1959-11-15,South Africa,Western Cape Province,Fishing for tunny,R. Roberts' leg was bruised when shark leapt into boat,N,Thresher Shark
1959-11-16,Usa,Louisiana,National Airlines DC7B enroute from Miami to Los Angeles with 42 or 46 people on board went down in heavy fog,Body recovery efforts were hampered by large sharks but sharks did not cause the deaths. ,,
1959-11-22,Australia,Queensland,Trailing the field in a surf race,"Lower left leg bittten, hand abraded",N,
1959-11-28,Australia,Queensland,Standing in chest-deep water,Right foot lacerated,N,Small Shark
1959-11-29,Australia,Victoria,Body surfing,"Thighs bitten, right hand lacerated",N,
1959-12-03,New Zealand,North Island,Fishing for snapper,"No injury to occupant, shark sank dinghy",N,Mako Shark
1959-12-07,Australia,South Australia,Spearfishing,"No injury, shark made threat display, one diver shot shark in jaw, then they killed shark with knives  ",,
1959-12-11,Australia,Victoria,"Spearfishing, Smith  & Walker touched shark with tip of their guns","Smith hit by tail of shark, Walker sustained cuts on his  wrist PROVOKED INCIDENT",N,
1959-12-19,Philippines,Masbate,ship M.V. Rizal sank during typhoon,"65 people survived, 27 perished. Several people were bitten & one man lost his leg to a shark.",Y,
1959-12-19,Australia,Queensland,Dived from dinghy to retrieve oar in heavy seas,FATAL,Y,
1959-12-26,Papua New Guinea,Rigo Subdistrict,Swimming underneath house on pilings,"FATAL, right leg severed",Y,
1959-12-28,Australia,New South Wales,Fishing,No injury to occupants,N,
1959-12-29,Australia,Queensland,Paddling,No injury to occupants,N,Tiger Shark
1960-01-01,South Africa,Western Cape Province,"Standing, watching seine netters",Left leg bitten by shark that escaped net  PROVOKED INCIDENT,N,
1960-01-07,Australia,Tasmania,Setting crayfish pots,"No injury to occupant, shark rammed boat",N,
1960-01-13,Australia,Western Australia,"Fishing, lifting shark out of craypot",Upper leg bitten PROVOKED INCIDENT,N,Wobbegong Shark
1960-01-16,Australia,New South Wales,Free diving,"FATAL, right leg severed above knee, surgically amputated but died 9 days later ",Y,Bull Shark
1960-01-21,Australia,South Australia,,"No injury to occupants, shark lifted boat",N,
1960-01-26,,"Between Timor & Darwin, Australia",Portuguese Airliner with 9 people aboard went down. ,"As searchers approached wreckage, sharks circled one canoe & seized oar from another.",N,
1960-01-30,Papua New Guinea,Madang (Wo),,"Lower left leg bitten, surgically amputated",N,
1960-02-03,Usa,Hawaii,S2F-1 airplane crashed immediately after carrier take-off,"Of crew of 4, only 1 person survived (broken legs but no shark bites). Within 20 minutes of his rescue large sharks were in area. No remains of other 3 crew recovered, and shark involvement in their deaths is questionable. ",,
1960-02-07,Australia,New South Wales,Spearfishing,"No injury, speared shark towed Gilles 200 yards & tore hole in diving suit, and hit Dowswell's back with its tail PROVOKED INCIDENT",N,Nurse Shark
1960-02-10,Australia,New South Wales,Shark fishing,No injury to occupants. Hooked shark rammed boat  PROVOKED INCIDENT,N,Tiger Shark
1960-02-19,Papua New Guinea,Central Province,Spearfishing,"FATAL, legs bitten ",Y,Tiger Shark
1960-02-24,Senegal,Casamance,Fishing,Calf bitten by shark caught in net PROVOKED INCIDENT,N,
1960-02-27,Usa,Hawaii,Spearfishing,Left forearm lacerated,,
1960-02-27,New Zealand,North Island,Spearfishing,"No injury, leg bumped by shark's tail",N,Whaler Shark
1960-02-29,Australia,Tasmania,"Wading, fishing for flounder","No injury, Robertson knocked over & Hasler brushed by a shark",N,
1960-03-28,Guam,,"Spearfishing, carrying fish on belt",Thigh bitten,N,
1960-03-31,Usa,Florida,Treading water,"Ankle bitten, hand injured while striking shark",N,Larger Shark
1960-04-01,Australia,South Australia,Shark fishing,Hooked shark bit stern  PROVOKED INCIDENT,N,White Shark
1960-04-03,Australia,New South Wales,"Speared a grouper, saw shark but it came for him instead of the fish so he fired spear into shark�s mouth. Then shark took grouper but unable to swallow because of the spear in its mouth.",Minor injuries to hand,N,Whaler Shark
1960-04-03,Australia,Victoria,Spearfishing,Minor cuts & bruises on face & neck,N,
1960-04-10,Australia,Western Australia,"Spearfishing, shot a sandtiger shark. Cord to spear tangled round his legs & a wave washed him onto a reef.","Bruises & minor injuries from reef, not the shark PROVOKED INCIDENT",N,Sandtiger Shark
1960-04-12,Australia,New South Wales,Surfing,Right arm & side bruised,N,White Shark
1960-04-14,Bermuda,"33N, 68W",Floating on a raft,"No injury, 5 sharks bumped raft",,
1960-04-20,South Africa,Eastern Cape Province,Fishing,Gaffed shark bit his ankle PROVOKED INCIDENT,N,Raggedtooth Shark
1960-04-22,Australia,Western Australia,"Fishing, hauling in a set line",4 fingers of left hand were lacerated by shark he had shot in the head PROVOKED INCIDENT,N,Whaler Shark
1960-04-24,Usa,California,Skindiving for abalone (but at surface),Foot & swim fin bitten ,N,White Shark
1960-04-30,South Africa,Kwazulu-Natal,Treading water,Multiple major injuries,N,White Shark
1960-05-01,Papua New Guinea,Madang,,FATAL,Y,
1960-05-16,Usa,Florida,,"No injury, harpooned shark bit hull, leaving tooth fragments. PROVOKED INCIDENT",N,Lemon Shark
1960-05-19,Usa,California,Swimming ,"Left leg bitten, surgically amputated below the knee",N,White Shark
1960-05-24,Bermuda,Paget,Free diving but treading water at surface,Foot bitten,N,Dusky Shark
1960-05-29,Panama,San Blas Islands,"Spearfishing, free diving, possibly ascended into path of cruising shark",Face lacerated,N,
1960-06-04,Usa,Georgia,Swimming,Lower left leg & foot bitten,N,
1960-06-05,Philippines,Corregidor Island,"Diving for shells, saw shark circling wife near the surface, intercepted shark & it pulled him beneath the water","FATAL, body not recovered",Y,
1960-06-07,Usa,California,"Testing classified underwater electronic gear for Raytheon Corporation, vessel torn apart by explosion","Legs & arms bitten, coroner unable to determine if injuries occurred before death.",,
1960-06-24,Usa,Florida,Scuba diving,"No injury, shark harrassed diver & attempted to bite his swimfins",N,Mako Shark
1960-06-27,North Sea,"Unknown, Treated At Wick, Scotland",Fishing,Right arm bitten by shark taken onboard in net PROVOKED INCIDENT,N,Small Shark
1960-06-27,New Zealand,Cook Strait,Shark fishing,Harpooned shark bit boat PROVOKED INCIDENT,N,White Shark
1960-06-29,Usa,South Carolina,Surf fishing,"Lacerations to calf, wrist & thumb by hooked shark. PROVOKED INCIDENT",N,
1960-07-02,Papua New Guinea,Madang,Fishing,Right buttock slashed,N,
1960-07-03,Usa,Virginia,"Fishing, tossing netted shark onboard",Right arm bitten  PROVOKED INCIDENT,N,Sand Shark
1960-07-05,Usa,Mississippi,Pulling raft out to ride to shore,Leg bitten,N,
1960-07-27,Papua New Guinea,Milne Bay Province,Spearfishing,"Arm severed, torso severely  lacerated",N,
1960-08-04,Usa,Delaware,"Fishing, Struck by another shark when removing shark from line",Hand lacerated,N,
1960-08-04,England,In The English Channel,Helping angler land a shark,Arm lacerated elbow to wrist PROVOKED INCIDENT,N,Hooked Shark
1960-08-10,Usa,Florida,Holding shark on leader & dangling it above the water,Right hand bitten by hooked shark PROVOKED INCIDENT,N,Lemon Shark
1960-08-14,Mozambique,Delagoa Bay,boat with 46 people on board capsized,1  survivor,,
1960-08-21,Usa,New Jersey,Standing in knee-deep water,"Lower right leg bitten, surgically amputated 10 days later",N,
1960-08-22,Usa,New Jersey,,Knee ripped to bone,N,
1960-08-22,Papua New Guinea,Milne Bay Province,Free-diving,Lost left arm,N,
1960-08-24,Usa,Connecticut,Free diving,Superficial laceration of left arm,N,
1960-08-25,Usa,Texas,Aircraft crashed into sea,"Partial human remains spotted by helicopter, shark involvement, if any, may have been post-mortum",,
1960-08-29,Senegal,Cap-Vert Peninsula,Air disaster: crash of Air France Super Constellation ,All 63 on board perished when the aircraft hit the water. Sharks hampered retrieval of bodies,Y,
1960-08-30,Usa,New Jersey,Swimming 3 miles offshore,Right leg severely lacerated,N,
1960-09-01,Marshall Islands,Eniwetok Atoll,Free diving / Spearfishing,"No injury, shark made a threat display",,
1960-09-02,Marshall Islands,Eniwetok Atoll,Free diving / Spearfishing,"No injury, shark made a threat display",,
1960-09-18,Australia,Western Australia,,"No injury to occupants, toothmarks on bottom & side of dinghy",N,
1960-09-22,Pacific Ocean,180 Miles Southeast Of Okinawa,R5D aircraft went down with 29 on board,One body sighted but not recovered due to shark activity,N,
1960-09-24,Usa,South Carolina,Fishing inside net,"Multiple superficial lacerations of leg, arm & hand PROVOKED INCIDENT",N,Lb Shark
1960-10-01,Australia,New South Wales,Fishing,"Swept off rocks & presumed to have drowned, shark seen in area",,
1960-10-24,South Africa,Western Cape Province,Fishing for rock lobsters,"No injury to occupants, shark rammed & bit  boat",N,White Shark
1960-10-25,Usa,California,Ejected from F3H-2 aircraft ,"No injury, shark hit his foot & circled",N,
1960-11-06,Australia,Western Australia,"Spearfishing, speared fish retreated to cave where shark grabbed his arm",Scratches on right upper arm,N,Wobbegong Shark
1960-11-11,Australia,Queensland,Chasing shark out of bathing area while riding on a surf-ski,"Shark knocked him off surf-ski, he inhaled water & had to be resuscitated PROVOKED INCIDENT",N,
1960-11-22,Usa,Florida,"Fell overboard, prop slashed arm","FATAL, probable drowning & post mortem scavenging",,
1960-11-27,Australia,Queensland,Swimming,Right shoulder lacerated,N,
1960-12-01,Australia,Queensland,Fishing,Bitten & survived,N,Bull Shark
1960-12-20,Australia,Queensland,"Fishing, when line became snagged on rock & he dived into water to free it ",Left thigh lacerated,N,Nurse Shark
1960-12-24,South Africa,Kwazulu-Natal,Swimming,"FATAL, legs severed ",Y,White Shark
1960-12-27,Australia,New South Wales,,"Shark brushed past, minor injuries if any",N,
1960-12-27,Usa,Hawaii,Swept out to sea while net fishing,"FATAL  Shark seen attacking Riley, body recovered off Nanakuli",Y,
1961-01-01,Columbia,Roncador Bank,Taking boat from California to Florida when it ran aground & he was swimming back to boat,Leg bitten,N,
1961-01-02,Australia,Tasmania,Ocean racing,"No injury to occupants, shark struck boat",N,
1961-01-03,South Africa,Western Cape Province,Standing,"Lower left leg bitten, abrasions on back of right leg",N,
1961-01-05,Mozambique,Limpopo River,Swimming,Leg bitten ,N,Zambesi Shark
1961-01-06,Australia,Northern Territory,Fishing,Finger bitten by hooked shark PROVOKED INCIDENT,N,Hammerhead Shark
1961-01-06,Atlantic Ocean,9.35N 79.35W,Pacific Seafarer of US Navy,"3 were lost, 3 survived",Y,
1961-01-06,South Africa,Kwazulu-Natal,Standing,"Right foot, leg and hand bitten",N,White Shark
1961-01-15,Australia,New South Wales,Collecting aquarium specimens,Right calf  bitten by lassoed shark on deck of surf ski PROVOKED INCIDENT,N,Wobbegong Shark
1961-01-22,South Africa,Kwazulu-Natal,Swimming,Left thigh bitten ,N,White Shark
1961-01-25,South Africa,Western Cape Province,Fishing for kob,"No injury to occupants, shark took a gaffed fish they were bringing aboard & hit their boat",N,
1961-02-01,Australia,Western Australia,Collecting crayfish,No injury,N,Nurse Shark
1961-02-01,South Africa,Eastern Cape Province,Swimming,"FATAL, multiple injuries to both legs, feet & left arm  ",Y,Kg Shark
1961-02-12,South Africa,Western Cape Province,"Spearfishing, shark grabbed his white t-shirt and towed him ",Torso bruised & abraded ,N,
1961-02-17,Australia,Victoria,Standing,"Ankle bitten by small �gummy� shark, minor injury",N,Banjo Shark
1961-02-17,Usa,Pennsylvania,Cleaning a tank,Thumb lacerated by captive shark PROVOKED INCIDENT,N,
1961-03-07,South Africa,Kwazulu-Natal,Fishing,Landed shark in boat bit his left leg  PROVOKED INCIDENT,N,Zambesi Shark
1961-03-09,North Pacific Ocean,Wake Island (Enenkio),Free diving,Right elbow bitten,N,Reef Shark
1961-03-12,Australia,South Australia,Spearfishing,Left leg bitten  & left forearm lacerated,N,White Shark
1961-03-14,Australia,Western Australia,Fishing from dinghy,Hooked shark hauled on board bit her foot PROVOKED INCIDENT,N,
1961-03-18,Australia,Victoria,Swimming,"Abdomen & arm bitten. Shark, holding him by the arm, leapt 4' to 5' above the surface",N,
1961-03-30,Australia,South Australia,Spearfishing,"Shark took his entire catch, lacerated his knee and tore his wet suit as it brushed past him",N,Whaler Shark
1961-04-03,Australia,Victoria,Spearfishing,"No injury, right sleeve of wetsuit ripped, weight on belt gashed",N,Nurse Shark
1961-04-08,Persian Gulf,United Arab Emirates,Cargo ship Dara sank after collision with another ship during a severe storm,Some of the survivors said to have been bitten by sharks,Y,
1961-04-09,Mozambique,Gaza,"Swimming, using bundles of sticks as raft","FATAL, extensive abdominal wounds, died 4 days later  ",Y,Zambesi Shark
1961-04-14,Australia,New South Wales,"Checking fish traps, fell into the water",Tiny cuts & bruises on neck  ,N,
1961-04-16,Australia,New South Wales,Spearfishing,Speared shark bit his foot  PROVOKED INCIDENT,N,Wobbegong Shark
1961-04-16,Usa,Florida,Spearfishing,Thigh bitten,N,Tiger Shark
1961-04-17,South Africa,Eastern Cape Province,Diving,Shark bit swimfin after diver kicked shark PROVOKED INCIDENT,N,Captive Shark
1961-04-21,Mozambique,Gaza,Swimming,"Multiple injuries to both hands, left leg & foot",N,Zambesi Shark
1961-04-25,Australia,New South Wales,Spearfishing,Speared shark bit Davy's ankle &  Pierpont's right leg  PROVOKED INCIDENT,N,Wobbegong Shark
1961-04-30,Usa,Florida,Splashing ,Abdomen abraded,,
1961-05-07,Australia,Western Australia,Spearfishing,"No injury, speared shark hit speargun PROVOKED INCIDENT",N,
1961-05-15,Usa,Florida,Walking in chest-deep water,Middle finger of left hand & right forearm lacerated,N,Hammerhead Shark
1961-05-17,New Britain,East New Britain Province,Collecting dynamited fish,Thumb & 2 fingers severed,N,
1961-05-21,Usa,California,Free diving for abalone,"No injury, wetsuit bitten",N,White Shark
1961-06-01,Papua New Guinea,"Admiralty Islands, Manus Province","Fishing, speared shark upset canoe & man fell in water","Left thigh severely bitten, but he regained  the canoe, then shark bit canoe PROVOKED INCIDENT",N,
1961-06-02,New Britain,East New Britain Province,Spearfishing,Minor injuries to arm,N,
1961-06-06,Usa,Florida,Spearfishing on Scuba,"No injury to diver or occupants of the boat, shark butted boat ",N,Hammerhead Shark
1961-06-18,Usa,Florida,Standing,Lacerations to left leg,N,
1961-06-24,Usa,Florida,Scuba diving & spearfishing ,"FATAL, arm severed & left side of torso removed ",Y,
1961-07-07,Australia,Queensland,Shark fishing,"No injury to occupant, hooked shark bit boat's rudder PROVOKED INCIDENT",N,White Shark
1961-07-16,Turkey,Anatolia,Swimming,Left leg injured,N,
1961-07-29,Usa,New York,Spearfishing,Puncture wound on right shin & fingers lacerated by speared shark PROVOKED INCIDENT,N,
1961-08-01,Papua New Guinea,Sandaun Province,"Fishing, two large sharks passed. He speared one and it bit him",Thigh lacerated PROVOKED INCIDENT,N,
1961-08-02,Usa,Hawaii,"Net fishing, picking catch from the net",Hand bitten,N,
1961-08-04,Bermuda,,Spearfishing,Right hand lacerated,N,Blacktip Shark
1961-08-16,Usa,South Carolina,Wading,"Right arm bitten. Left leg bitten, surgically amputated ",N,White Shark
1961-08-20,Usa,California,Swimming,"Foot, leg  & groin lacerated",N,White Shark
1961-09-06,Australia,Western Australia,Attaching a line at sea,Shark involvement prior to death unconfirmed,,
1961-09-06,Italy,Venice Province,Fishing,Left foot & right hand bitten by netted shark PROVOKED INCIDENT,N,
1961-09-07,Persian Gulf,25 Km Off The Coast Of Iran & 483Km From Mouth Of Persian Gulf,"Free diving, surveying a pipeline & examing cathodes under jetty","3"" cut on sole of foot",N,
1961-09-23,Mid Atlantic Ocean,165  Miles From Bermuda,"Survived US Naval aircraft crash, climbing onboard rescue vessel when he fell back into sea ",Right shoulder blade  & back lacerated,N,
1961-09-24,Croatia,Primorje-Gorski Kotar County,Swimming,"FATAL, hand severed & legs bitten  ",Y,White Shark
1961-09-24,Tanzania,,Fishing,PROVOKED INCIDENT Right hand severed by hooked shark,N,
1961-09-26,Usa,Florida,,Foot & lower leg abraded and lacerated when he kicked the shark PROVOKED INCIDENT,N,
1961-10-09,Usa,Florida,Swimming,"Skeletonized, but shark involvement may have occurred after death.",,
1961-10-17,Philippines,Western Luzon Island,Gathering shells,Right leg severed,N,
1961-12-13,Australia,Torres Strait,Swimming with other crew near wharf,Right thigh and leg lacerated,N,
1961-12-18,Australia,Queensland,"Surfing, pushing board ashore","FATAL, right wrist and hand bitten, left leg severed above knee ",Y,
1961-12-18,Mozambique,Gaza,Bathing,His left leg was severely bitten,N,
1961-12-19,Australia,South Australia,"Fishing, hauling in a 5-lb snapper",No injury to occupant; shark leapt into boat,N,
1961-12-27,Australia,Western Australia,Spearfishing,"No injury, Parker shot the shark when it came close to his nephew, Bill Bradbury (14), then the shark bent his speargun PROVOKED INCIDENT",N,Nurse Shark
1961-12-28,Australia,Queensland,Standing,"FATAL, right arm severed at shoulder, left hand severed, right thigh bitten & surgically amputated.  Died  day after the attack",Y,
1961-12-28,South Africa,Kwazulu-Natal,Treading water,Lower right leg & ankle bitten,N,Zambesi Shark
1961-12-28,Australia,Queensland,Standing,"Hand bitten, surgically amputated",N,
1962-01-01,Marshall Islands,Kwajalein Atoll,Fishing with hand net in 2' of water,"2.5"" laceration on right hand",N,
1962-01-02,Australia,New South Wales,Fishing,"No injury to occupants, hooked shark dragged boat 2 miles PROVOKED INCIDENT",N,
1962-01-06,South Africa,Western Cape Province,Fishing,Shark rammed boat 5 times & holed it,N,
1962-01-07,Australia,Queensland,Rowing,"No injury to occupants, shark bit 3"" piece from oar after they accidentally struck the shark PROVOKED INCIDENT",N,
1962-01-07,Australia,New South Wales,Surfing,"No injury, shark bumped board flipping him into the water",N,
1962-01-08,Australia,New South Wales,Swimming,"Remains recovered from 10' shark, but shark involvement prior to death unconfirmed",,
1962-01-10,Australia,South Australia,Fishing for sharks,No injury to fisherman Alf Dean & other occupants; shark bit stern of boat,N,White Shark
1962-01-11,Australia,South Australia,Fishing,"No injury to occupant, shark bit propeller & lifted boat several feet",N,Nurse Shark
1962-01-11,Papua New Guinea,"10�S, 142�E",Spearfishing,Left leg & buttocks bitten,N,White Shark
1962-01-11,New Zealand,South Island,Surf fishing,Right foot lacerated ,N,
